S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Mar Cap 3yrs back Cr.
165.,Standard Glass,178.16,50.45,3554.14,0.00,21.13,41.30,173.07,22.03,16.48,
166.,Utkarsh Small F.,19.92,,3544.81,0.00,-239.48,-274.29,880.91,-8.80,7.17,
167.,Senores Pharma.,766.75,52.27,3531.16,0.00,21.18,83.88,137.99,71.65,11.40,
168.,Protean eGov,866.80,36.97,3519.96,1.15,23.85,13.09,210.84,7.28,11.72,
169.,Sambhv Steel,117.36,51.90,3458.26,0.00,33.40,34.89,558.63,68.88,13.92,
170.,Sundaram Clayton,1565.50,,3451.33,0.30,-57.76,-3.42,511.64,-11.85,-2.39,
171.,String Metaverse,291.55,71.00,3394.58,0.00,18.30,236.43,198.86,297.56,26.00,
172.,Anand Rathi Shar,537.30,33.92,3370.23,0.00,28.59,-13.68,227.08,-1.29,21.26,
173.,Flair Writing,314.20,29.16,3311.52,0.32,27.13,5.69,242.22,9.21,15.62,
174.,Euro Pratik Sale,321.75,42.73,3288.29,0.00,9.30,1.55,64.53,33.22,49.53,
175.,Epack Durable,333.65,78.56,3210.66,0.00,-22.25,-162.07,213.26,-43.45,9.70,
176.,Arkade,170.48,20.05,3165.19,0.59,45.81,5.58,263.65,30.75,30.30,
177.,Apeejay Surrend.,148.23,31.85,3162.85,0.34,13.42,828.93,154.25,14.20,11.98,
178.,Brigade Hotel,82.39,130.67,3129.52,0.00,10.60,69.53,125.72,16.42,14.13,
179.,Alpex Solar,1274.75,20.29,3119.75,0.00,52.67,123.32,522.92,177.56,50.48,
180.,DDev Plastiks,296.85,15.74,3071.70,0.59,52.15,22.85,769.22,22.99,33.92,
181.,EPack PrefabTech,301.45,40.70,3028.13,0.00,29.47,104.23,433.94,61.89,23.71,
182.,KP Green Engg.,601.95,40.66,3009.75,0.07,46.01,93.51,432.28,76.35,30.04,
183.,Prabha Energy,216.76,,2967.56,0.00,-0.18,-66.67,1.77,82.47,-0.35,
184.,Carraro India,518.75,33.77,2949.17,0.88,28.51,4.17,489.18,4.07,21.84,
185.,Muthoot Microfin,168.24,,2868.36,0.00,6.18,-94.54,558.62,-15.80,5.80,
186.,EMS,502.80,15.12,2792.09,0.30,38.06,2.05,238.89,15.81,26.91,
187.,Roadstar Infra,60.00,469.08,2732.86,14.83,-121.58,-806.61,303.18,66.50,4.83,
188.,Sai Silks,176.52,20.88,2707.22,0.57,40.08,68.62,444.33,27.93,12.37,
189.,Solarworld Ene.,309.10,30.72,2679.05,0.00,12.91,387.17,68.24,202.35,40.36,
190.,Rajesh Power,1470.95,30.60,2648.80,0.07,59.61,,759.01,,54.71,
191.,Venus Pipes,1270.10,29.20,2631.15,0.08,24.76,-10.16,276.41,15.10,24.95,
192.,M & B Engineer.,450.20,29.28,2572.81,0.00,17.95,158.65,237.65,69.48,26.06,
193.,Landmark Cars,620.15,139.47,2568.97,0.08,7.37,103.16,1061.72,27.61,7.99,
194.,Vikran Engg.,98.05,31.96,2528.82,0.00,5.65,31.70,159.16,16.98,27.15,
195.,Baazar Style,333.00,145.22,2484.76,0.00,2.07,-80.91,377.83,37.04,8.94,
196.,DCX Systems,221.99,61.83,2472.67,0.00,4.06,38.10,222.16,60.89,5.10,
197.,Fusion Finance,178.54,,2420.37,0.00,-22.14,92.74,400.82,-42.04,-2.96,
198.,Aeroflex,182.82,49.42,2364.24,0.16,14.23,4.17,110.87,16.72,22.34,
199.,Rossell Techsys,626.15,154.78,2360.36,0.03,3.30,182.50,87.22,94.25,8.18,
200.,Shipping Land,49.98,,2328.06,1.10,4.19,-67.42,6.13,53.63,2.09,
201.,Studds Accessor.,,33.01,2302.17,,33.24,,285.31,,22.59,
202.,Digitide Solutio,154.39,69.21,2299.63,0.00,2.91,,764.19,,,
203.,Anantam Highways,105.27,5.58,2289.62,0.00,,,,,18.96,
204.,Uniparts India,507.25,23.46,2289.41,2.81,34.46,38.45,273.65,4.77,12.35,
205.,Anzen IYEP Trust,116.50,,2285.66,2.48,9.55,554.76,110.46,76.37,1.88,
206.,Yatra Online,144.04,46.57,2260.22,0.00,16.00,296.04,209.81,108.12,5.34,
